"EDR072296","Textus secundum (3)<br>v. 1: litterae CR scriptae sed tum cancellatae."
"EDR071662","Textus secundum (1)"
"EDR073222",
"EDR073314","Textus secundum (5); v. 2 omittitur (1)"
"EDR073610",
"EDR073766","Textus secundum (3)"
"EDR074234","Textus secundum (2),(4)"
"EDR152964","Textus secundum (2), mensurae secundum (1)<br>v. 1: lat. 9,1; litt. alt. 2,3-3,2<br>v. 2: lat. 14,5; litt. alt. 1,4-2,0<br>v. 3: lat. 7,2; litt. alt. 1,9-2,8"
"EDR153355","Textus et mensurae secundum (1)<br>vv. 1-2:  II pro littera E scriptum <br>v. 1: lat.:18,5; litt. alt.: 0,3-1,7 (1)<br>v. 2: lat.:18,0; litt. alt.: 0,3-1,3 (1)<br>De eadem sententia in Pompeiis vide CIL 04, 01811 et 01870 Add. p. 464."
"EDR152963","Textus et mensurae secundum (1)<br>Prope EDR154964, EDR154590, et EDR154591"
"EDR152931","Textus et mensurae secundum (1)<br>v. 1: CABINIO pro SABINIO scriptum<br>v. 3: Secunda littera S retrogradum scriptum est.<br>v. 1: lat.: 1,7; litt. alt.: 1,3-1,4<br>v. 2: lat.: 2,3; litt. alt. 0,6-1,2<br>v. 3: lat.: 1,5; litt. alt. 1,1"
"EDR152815","Textus et mensurae secundum (1)"
"EDR152929","Textus et mensurae secundum (1), sed alterae litterae in titulo videntur.<br>v. 1: (H)ILASU(S) fortasse pro (H)ILARU(S)"
"EDR152999","Textus et mensurae secundum (1)<br>Prope EDR154590 et EDR154591"
"EDR151899","Textus et mensurae secundum (1)<br>v. 1: lat.: 0,6; litt. alt.: 1,1<br>v. 2: lat.: 5,2; litt. alt.: 1,0-1,8"
"EDR153000","Textus et mensurae secundum (1)"
"EDR153110","Textus et mensurae secundum (1)"
"EDR077698",
"EDR079495","Textus secundum (2) (6), aliter (1), (3-5)<br>v. 1: Popilus (1)"
"EDR148672","Textus et mensurae secundum (1)<br>v. 1: II scriptum pro littera E<br>v. 2: prima I aut P aut F esse potest"
"EDR148654","Textus secundum (1). <br>v.1: lectio ultimae litterae non satis certa est. Fortasse ""Auge"" sit (1). Etiam ""Aug(usti?) <:servus>"" possit.<br>"
"EDR127829","Textus secundum (1)"
"EDR127413","Textus secundum (2)"
"EDR151816","Textus et mensurae secundum (1)<br>v. 1: LAGUNAS pro LAGENAS (1)"
"EDR151822","Textus secundum (1)<br>v. 1: VASILEUS pro BASILIUS?<br>Supra EDR140036"
"EDR148652","Textus secundum (1)<br>v. 2 milis (:miles) coh(ortis) V pr(aetorianae) ((centuria)) Martialis"
"EDR081355",
"EDR124968","Textus secundum (1)"
"EDR124971","Textus secundum (1)"
"EDR124993","Textus secundum (1)"
"EDR124994","Textus secundum (2)"
"EDR124995","Textus secundum (1)"
"EDR124996","Textus secundum (1)"
"EDR124998","Textus secundum (1)"
"EDR124999","Textus secundum (1)"
"EDR125000","Textus secundum (1)"
"EDR124967","Textus secundum (1)"
"EDR124969","Textus secundum (2), aliter (1)"
"EDR124970","Textus secundum (1)-(2)"
"EDR124972","Textus secundum (3)"
"EDR124973","Textus secundum (4)"
"EDR124974","Textus secundum (4)"
"EDR124975","Textus secundum (2)"
"EDR124976","Textus secundum (3)"
"EDR124977","Textus secundum (4)"
"EDR124978","Textus secundum (4)"
"EDR124981","Textus secundum (2)"
"EDR124982","Textus secundum (2)"
"EDR124983","Textus secundum (2), aliter (1), contulit ille a. 2008<br>V. 1: Nicopolis vale (1)"
"EDR124984","Textus secundum (2)"
"EDR124987","Textus secundum (2)"
"EDR124989","Textus secundum (1)"
"EDR124991","Textus secundum (1)"
"EDR124992","Textus secundum (2)"
"EDR125002","Textus secundum (2)"
"EDR125529","Textus secundum (1)"
"EDR125532","Textus secundum (1)"
"EDR127147","Textus secundum (1) "
"EDR127157","Textus secundum (1)<br>"
"EDR127158","Textus secundum (1)"
"EDR127191","Textus secundum (1)"
"EDR127188","Textus secundum (1)"
"EDR127080","Textus secundum (1)<br>v. 2 'u' written as 'x'"
"EDR127160","Textus secundum (1)<br>A backwards C appears in text as a symbol for centuria."
"EDR127424","Textus secundum (1)"
"EDR127140","Textus secundum (1)"
"EDR127234","Textus secundum (2) <br>v. 1: The letter ""e"" appears as ""II"" and the letter T is taller than the other letters in the text. "
"EDR127299","Textus secundum (1)"
"EDR127403","Textus secundum (1)<br>v. 1: ((C)) represents a backwards ""C""."
"EDR127406","Textus secundum (1)"
"EDR127428","Textus secundum (1)"
"EDR127081","Textus secundum (1)<br>vv. 4, 7, 9: the letter ""e"" is written as ""II"" (CIL 04, 08568)"
"EDR127145","Textus secundum (2)"
"EDR127396","Textus secundum (1); titulus periit (2)  "
"EDR127801","Textus secundum (1)"
"EDR127835","Textus secundum (1). Nomen ad perpendiculum scriptum (CIL ad loc.) Titulus periit (2). "
"EDR127843","Textus secundum (1)"
"EDR127154","Textus secundum (1). Titulus periit (2). <br>v.4: the letter ""E"" is written as ""II"" for ""ven"" and ""Quenitus."" "
"EDR127414","Textus secundum (1)"
"EDR127575","Textus secundum (1)"
"EDR127151","Textus secundum (1), v.1: Mo(desti)(?)"
"EDR127212","Textus secundum (1)<br>v.1: 'E' appears as 'II'"
"EDR127242","Textus secundum (1)"
