"EDR072296","Rend. Ac. Linc. 1908, pp. 555-572 (G. Zottoli) - AE 1909 (1)<br>AE 1909, 0069 (2)<br>CIL 04, 07065 (3)<br>HD019841 (A. Scheithauer) (4)"
"EDR071662","CIL 04, 04182 (1)<br>HD022610 (A. Scheithauer) (2)"
"EDR073222","CIL 04, 08405 (1)<br>AE 1934, 0141.<br>HD026896"
"EDR073314","CIL 04, 01917 (1)<br>Atti Ac. Napoli, 13, 1933, pp. 69-70 (M. Della Corte) (2) <br>Rend. Ist. Lomb., 1935, pp. 145-149 (M. Della Corte) - AE 1936 (3)<br>AE 1936, 0103 (4)<br>Studia Epigraphica in memoriam Géza Alfödy, Bonn 2013, pp. 333-335 (H. Solin) (5)<br>HD024393 (A. Scheithauer) (6)"
"EDR073610","CIL 04, 08223 (1)<br>Rend. Acc. Arch. Nap. 21, 1941, p. 53 sgg. con foto (A. Maiuri) - AE 1950 (2)<br>Am. Journ. Arch., 45, 1941, p. 468 ss., con foto (A. Maiuri) - AE 1947 (3)<br>Jahrb. deutsch. arch. Instituts, Archaeol. Anzeiger 56, 1941, col. 602 (H. Fuhrmann) - AE 1946 (4)<br>AE 1946, 0176 (5)<br>AE 1947, 0007 (6)<br>AE 1950, 0167 (7)<br>HD022744 (A. Scheithauer) (8)"
"EDR073766","CIL 04, 01667 (1), cfr. p. 210 (2)<br>Epigraphica, 10, 1948 (1950), p. 16 (I. Russu) - AE 1950 (3)<br>AE 1950, 0086c (4)<br>HD021751 (H. Niquet) (5)"
"EDR074234","CIL 04, 01698 (1) cf. p. 463 (2), p. 704 (3)<br>Am. Journ. Philol., LXXX, 1959, pp. 380-382 (A. W. Van Buren) - AE 1960 (4)<br>AE 1960, 0032 (5)<br>CLE 0359 (6)<br>HD018646 (M. Schmidt) (7)"
"EDR152964","CIL 04, 10614 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. II, p. 499, con foto (2)"
"EDR153355","CIL 04, 10634 (1)<br>M. Gigante, Civiltà delle forme letterarie nell'antica Pompei. Napoli 1979, p. 149 (2)<br>Quad. Urb. Cult. Class., 19, 1985, p. 94 (P. Cugusi) (3)<br>Homo Viator: Classical Essays for John Bramble. Oak Park, IL 1987, p. 87-88 (E. Rawson) (4)<br>Tyche, 27, 2012, p. 98-99 (P. Kruschwitz, V. Campbell, and M. Nicholls) (5)<br>K. Milnor, Graffiti and the Literary Landscape in Roman Pompeii. Oxford 2014, p. 176-177 (6)"
"EDR152963","CIL 04, 10613 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt, Imagines, Roma 2012, vol. II, p. 498, con foto (2)"
"EDR152931","CIL 04, 10611 (1)"
"EDR152815","CIL 04, 10608 (1)"
"EDR152929","CIL 04, 10609 (1)"
"EDR152999","CIL 04, 10615 (1)"
"EDR151899","CIL 04, 10629 (1)"
"EDR153000","CIL 04, 10616 (1)<br>A. Varone, Titulorum graphio exaratorum qui in CIL vol. IV collecti sunt, Imagines, Roma 2012, vol. II, p. 499, con foto (2)"
"EDR153110","CIL 04, 10630 (1)"
"EDR077698","AE 1980, 0262.<BR>M. Della Corte, NSA 1939, 293, Nr. 336; fig. 16a; 16 (Zeichnung). (B)<BR>- AE 1980.<BR>N.J. Herescu, Glotta 38, 1969, 125-134. (B) - AE 1980.<BR>V. Pisani, PP 28, 1973, 213-215, Nr. 3. - AE 1980.<BR>M. Gigante, CronPom 2, 1976, 229-230. - AE 1980.<BR>CIL 04, 08767. (B)<BR>AE 1986, 0165.<BR>HD004264"
"EDR079495","CIL 04, 08898 (1)<br>Epigraphica, 30, 1968, 115-118 (H. Solin) (2)<br>Hermes, 105, 1977, 252-253 (J. Hallett) - AE 1984 (3)<br>Liverp. Class. Month., 7, 1982, 86-87. 150 (J.N. Adams) - AE 1984 (4)<br>AE 1984, 0205 (5)<br>A. Varone, Erotica Pompeiana, Roma 2002, p. 82 (6)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt Imagines, Roma 2012, vol. I p. 206 con foto (7)<br>HD001872 (8)"
"EDR148672","CIL 04, 02030 con apographo, Tab. XXV 4 (1)"
"EDR148654","CIL 04, 01988 con apographo (1)"
"EDR127829","CIL 04, 08564a (1)<br>Tyche, 27, 2012, p. 104 (P. Kruschwitz, V. Campbell, and M. Nicholls) (2)"
