CIL,EDR,Height,Width,Letter height range,Letter height range including flourishes,Height from ground
10478,,,,,,
10479,0,,,,,
10495a,140055,2,13,.7-.2,,110.5
10495b,140246,1.3,,,,
10495c,140136,1.9,1.7,1.6-1.8,,103
10496,151948,8.4,23.4,,,
10497,140046,11.5,8.5,1.8-5,,146.8
10498a,140258,,7.9,0.4-2.3,,
10498b,151800,,6.4,0.4-1.8,,
10498c,151801,,7.8,1.2-2.8,,
10498d,151802,5,10.8,1.3-4.2,,101
10499,140254,,,,,
10500,151816,4,25,,,
10501,151818,,,4.0-5.0,,
10502,151822,,,,,
10503,140036,,,,,
10504,140137,14,55,3.7-8.9,,161
10505,140142,,6.7,0.5-1.8,,81
10506,140255,,22.5,2-7.3,,
10507,140148,2,4,0.4-0.9,,143
10508a,140143,1.4,4.5,0.6-1.5,,
10508b,140149,1.4,4.5,0.7-1.2,,167
10509,140140,6.5,9.6,2.2-5,,
10510,140257,,46.7,4.4-7.5,,
10511,140198,16,17,6-16.5,,127.5
10512,140204,10.3,18,1.3-10,,126
10513,140165,,,,,
10514,140168,,27.5,3.1-11.9,,
10515,140172,,,,,
10516,140187,,,,,
10517,140189,4.25,2.25,3.75-4.25,,113.25
10518,140192,5.2,10.8,3.4-5.2,,144.2
10519,140171,,23.6,1.7-6.7,,
10520,140147,7.3,30,0.3-1.1,,149.5
10521,151829,,15.6,1.2-2.7,,
10522,151831,,,,,
10523a,140173,,17.5,1.8-5.9,,
10523b,140176,,17.5,3.2-3.5,,
10523c,140177,,47.6,2.1-16,,
10524,140170,,21.2,10.4-10.5,,
10525,140152,8.5,39.5,2.1-3.9,,157.4
10526,145942,,17,1.8-6.8,,
10527,140174,,21.9,7.2-12,,
10528,140190,,14.6,0.9-2.8,,
10529,112869,,,,,
10530,151835,,44,8.0-10.0,,
10531,140205,8,39,,,
10532,144354,not available ,12.6,1.1-5.3,,
10533,140220,9.8,21.1,6.3-9.8,,
10534,140224,,15,0.6-5.8,,
10535,140230,,14.5,0.7-3.4,,
10536,140231,,18.5,3.4-4.4,,
10537,140237,,38.8,6.8-15.8,,
10538,140213,,31,0.8-18.2,,
10539,140217,,57.5,0.9-10,,
10540,140219,,14.1,0.4-2.3,,
10541,140221,,33,1.1-2.8,,
10542,140223,,34.6,0.4-2.2,,
10543,140226,,37.7,1.3-7.1,,
10544,140232,,14,1.0-18,,
10545,140233,,7.7,0.7-2,,
10546,142437,3,1.4,1.5-3,,32.8
10547,140131,5,13,1.7-3.3,,136
10548,140669,14,24.5,2.5-4.3,2.5-14,
10549,140199,1,4,,,
10550,140203,,21.2,5.1-7.1,,
10551,140208,8.8,42.9,,,
10552,140210,,4,0.6-1.3,,
10553,140234,,37.4,4.7-10.9,,
10554a,142438,1.9,2,1.1-1.9,,
10555a,142440,2,4.8,0.6-1,,
10555b,142441,1.2,3.7,0.7-1.2,,
10556a,154442,3.2,5.5,0.7-2.3,,
10556b,154447,6.2,7.9,0.55-1.5,,
10557,151861,,5.8,1.7-5.5,,
10558,151863,,3.1,0.4-2.2,,
10559,151864,,3.7,0.5-1.0,,
10560,151865,,16.5,3.1-6.5,,
10561,145007,,31.7,4.0-7.3,,
10708,154589,,26,5.0-6.0,,
10562,140135,11,39.5,2.5-9.5,,151.5
10563a,140124,15,24,2.5-15,,135
10563b,140125,9.8,15.3,2.5-9.5,,144.3
10563c,140129,1,2.7,0.5-1,,96
10563d,140146,,3.2,1.6-2.5,,
10564,140132,28.8,71,24.5-28.8,,152
10565,151867,,,,,
10566,151868,,,,,
10567,140039,8.1,12.6,0.4-1.7,,
10568,140144,,48,3.0-4.0,,
10569,140166,,33.5,0.5-7.7,,123
10570,140181,,7.3,0.8-7,,106
10571,140182,,12.3,3.7-4.8,,
10572,140184,,4.1,1.3-2.1,,
10573,140185,,5.7,0.5-3.5,,
10574a,150399,,24,3.0-4.0,,
10575,140195,,5.5,0.3-0.8,,
10576,140197,,1.3,0.6-1.1,,
10577,140200,,2.8,0.6-0.8,,
10578,140206,,4.3,0.5-1.6,,
10579,140188,,15.5,0.6-3.5,,
10580,140191,,,,,
10581,140141,,37,2.5-1,,
10582,140138,,114,13-27,,163
10583a,151872,,6.1,0.5-1.9,,
10583b,140139,,9.9,0.6-1,,
10584,140134,,14.3,3.1-5.1,,104
10585,140164,1,4,,,
10586,145296,,11.4,7.3-8.6,,
10586,145296,,33.1,2.8-9.5,,
10586,145296,,6.8,1.7-2.4,,
10586,145296,,10.6,3.9-6.6,,
10587,140179,20,60,,,
10588a,140127,24,23.8,14-23.8,,153
10588b,140057,,7.2,0.8-2.2,,
10589,151873,,30.8,4.9-8,,
10590,151874,23.7,12.5,3-3.5,,91.9
10591,151876,,42.7,1.6-4.3,,
10709,140209,,6.5,0.7-0.9,,
10710,140180,,39,1.4-7.4,,
10711,144659,10.9,45.2,1.5-4.9,,47.5
10480,,,11.5,1.5-3.5,,
10482,,,,,,
10483,,,,,,
10485,,,,,,
10486,,,,,,
10487,,,,,,
10488,,,,,,
10489,,,,,,
10491,,,,,,
10592,151877,,,,,
10593,151886,,17.8,2.8-5.8,,
10594,151884,,17.1,4.7-6.5,,
10595,151890,,34.7,1.1-13.8,,
10596,156776,,,,,
10597,151892,,48.5,3.9-23.3,,
10598,140145,,8.9,0.4-4.7,,
10599a,140151,2.5,4.6,0.4-1.2,131.8,131.8
10599b,140709,,,,,
10600,145935,,90,14,,
10601,151896,4,5.5,1.6-3.7,,137.5
10602,151898,1.8,4.7,0.7-1.8,,134.8
10603,151417,17.6,55.4,4.9-13.8,,147.2
10604a,140061,,,,,
10604b,140062,,,,,
10604c,140034,,,,,
10605,151901,,,,,
10606,154566,,4.2,,,
10607,140053,6.5,2.7,0.9-1.0,,138.8
10608,152815,,16.1,0.8-2.4,,
10609,152929,,3.3,0.5-2.5,,
10610,152930,,75,6.0-10.0,,
10611,152931,,2.3,0.8-1.4,,
10612,152962,,7.6,1.2-3.7,,
10613,152963,,10.5,7.5-11,,
10614,152964,,8.4,2.3-4.7,,
10615,152999,,5.3,0.7-1.2,,
10616,153000,,7.2,0.6-1.1,,
10712,154590,3,12,,,92.7
10713,154591,,8,1.8-4.4,,
10714,154592,1.5,2.2,,,
10617,140037,,10.4,0.9-2.4,,
10618,140040,,7.6,1.5-2.5,,
10619,73355,,,,,
10620,140050,0.8,3.4,0.5-0.8,,140.8
10621,140052,,8.9,2.5-7.5,,
10622,140054,29.9,66,1.4-27,,176.4
10623,140834,,7.9,1.5-3,,89
10624,140835,5,10.7,1.3-5,,88.3
10625b,140150,1.8,2.5,1.1-1.4,,130.7
10625a,140060,1.6,3.5,1.4-1.6,,131
10626,151894,,13.3,1.4-4,,
10627,151895,15,20,,,
10628,151897,,6.5,0.7-2.1,,
10629,151899,,5.2,1-1.8,,
10630,153110,,15,1.1-4.3,,66
10631,153111,,6.5,0.7-2.1,,
10632a,154567,,6.8,0.5-1.3,,
10632b,154568,,6.5,0.4-1.8,,
10632c,154569,,9.9,0.4-1.2,,
10633,153151,,6.8,0.5-2,,
10634,153355,,18.5,0.3-1.7,,50
10635,153356,,7.6,1.1-8,,
10636,153357,,10.6,1.7-11.4,,
10637,153358,,6.3,1.7-4.5,,
10638,153483,,24.9,0.7-11.6,,
10639,153484,,10,1.4-4.3,,
10640,153487,,3.6,0.2-0.7,,
10641,153485,,21.9,2.1-12.2,,
10642,153486,,12.8,6.3-13,,
10643a,154533,,20,,,
10643b,154534,,6.5,,,
10643c,154535,,37,,,
10644,153609,,4.7,1.5-1.8,,
10645,154576,,6.4,0.4-1.4,,
10646,153613,,15.9,0.9-3.8,,
10647,153615,,,,,
10648,140211,29.5,71,3.5-17,,
10649,153740,,17.8,1.5-3,,
10650,153741,20,65,,,
10651a,153800,,,,,
10652,140239,15,29.8,2.1-15,,163.4
10653a,140193,3.5,6.6,1.8-3.5,,143
10653b,140250,17,8.5,6.0-14.0,,143
10654a,154570,,8.5,1.4-2.8,,
10654b,154571,,9.4,0.8-2.9,,
10654c,154572,,30.4,3.2-6.4,,
10655,153742,5.8,16.8,0.7-5.8,,137
10655,153743,5.8,11.4,0.5-5.8,,136
10656,153849,,76.5,3.1-11.9,,
10657,153850,,24.8,2.3-5.3,,
10658,153851,,11.5,2.4-3.6,,
10659,153852,,10,,,170
10660,153853,5,80,,,
10661,153854,,,,,
10662,154042,,,,,
10664,154043,,13.9,0.5-1.1,,
10665,154044,,23.6,0.8-2.9,,
10666,154443,,,,,
10666,154444,,,,,
10666,154445,,,,,
10666,154446,,,,,
10667,154045,,22.5,4.6-5.6,,
10668,154574,21.4,26,0.9-11.5,,121.9
10669,154046,,9.2,0.6-2.4,,
10670,154047,,4.3,1.1-3.7,,
10670,154092,,10.4,0.4-2.8,,
10715,154593,,4.5,0.9-1.9,,
10716,154594,0.8,3,,,
10717,154595,3.2,24.4,,,95
10671,154575,1.4-2.6,17.8,,,
10672,154500,,,,,
10673,156782,,,0.4-6,,
10674,154177,,,,,
10675,154179,,,,,
10676,143636,30,37,2,,
10677,154185,,,,,
10678,154186,,,,,
10679,154189,4,16,,,
10680,154190,,10,,,
10681,154368,,60,2.5-9,,
10682,154369,4,6.5,,,
10683,154370,1.5,9,,,129
10684,154371,,200,,,
10685,154372,,9.2,0.9-8,,
10686,140978,6,13.7,0.6-0.8,,142.4
10687,154373,,,,,
10688,140979,3,7.4,0.5-1.7,,109.2
10689,154429,4.5,11.8,1.7-4.4,,93.6
10690,154430,,70,,,
10691,154431,,50,,,
10692,154432,,8,,,
10693,154433,7,13,0.4-2.5,0.6-1.3,96
10694,154434,,10.4,0.2-1.8,,
10695,140980,3.1,25.6,,,123.5
10696,140982,2.2,8.7,1-2.2,,137
10697,140983,7,11.7,0.3-1.3,,122.4
10698,140986,11.7,11.9,1.4-10,,148.2
10699,154537,16,51,,,
10700,154538,9,100,7-8.4,,127
10701,154539,,,,,
10702,154540,,100,,,
10703,140987,11.9,19.4,2-11.5,,134
10704,154541,,,,,140
10705,154542,,300,,,
10706,154563,,,,,
10546,0,4.5,4,2.5-4.5,,111
10625,0,2.3-2.5,3.8,,,
10663,154437,3.5,11,,,141
10663,154439,9,14,2.6-7,,142
10663,154440,5.1,15,2.3-5.1,,132
10663,154441,3.2,11,,,134
10663,154442,7.1,8.1,0.9-1.7,,153.4
10654d,154573,13,27.5,2.8-13,,201
10654e,140251,11.5,23,2.2-7.1,,184
10486,,,,,,
10554b,142439,1,5,0.3-0.7,,
10574b,140186,20,40,,,
10651b,154423,,,,,
10654f,140252,3.5,14.5,2-3.5,,
10707,154588,0.8,10,,,
