 EDR144347,Herculaneum,basis columnae cum parte columnae ornamentae et fortasse scalae,base and part of a decorated column and perhaps a ladder,Other,2318,,,,
 EDR144348  ,Herculaneum,basis columnae,column base,Other,2319,,,,
 EDR144514  ,Herculaneum,"camelus dromedarius lodicem gerens, cum cauda, ad dextram incedens","camel, wearing a blanket, with a tail, walking to the right",Animals,1443,,,,
 EDR145004    ,Herculaneum,cervus a cane assultatus,stag attacked by dog,Animals,1108,,,,
 EDR145008 ,Herculaneum,cervus a viro laqueo captus et a cane assultatus,stag captured by a man with a rope and attacked by a dog,"Animals, Human figures",1125,,,,
 EDR145032 ,Herculaneum,gallus cum crista alisque,cock with comb and wings,Animals,1688,,Yes,,
 EDR145764 ,Herculaneum,cervus,stag,Animals,1509,,,,
 EDR145768   ,Herculaneum,animal,animal,Animals,1596,,Yes,,
 EDR145771  ,Herculaneum,figura virilis,figure of a man,Human figures,734,,Yes,,
 EDR147607  ,Herculaneum,herma viri cum palma,bust of man with palm,"Human figures, Plants",384,,,,
EDR143634  ,Herculaneum,galea gladiatoria cum crista ad sin.,gladiator helmet with a plume facing left,Gladiators,970,,,,
EDR143814,Herculaneum,galea gladiatoria cum crista ad dext.,gladiator helmet with plume and visor? facing right,Gladiators,963,,,,
EDR143815 ,Herculaneum,galea gladiatoria cum crista ad. dext.,gladiator helmet with crest facing right,Gladiators,964,,,,
EDR143833   ,Herculaneum,galea gladiatoria,gladiator helmet,Gladiators,967,,,,
EDR143900  ,Herculaneum,"gladiator, murmillo cum galea et scuto","gladiator, murmillo type with helmet and shield",Gladiators,909,,Yes,,
EDR144349  ,Herculaneum,basis columnae,column base,Other,2320,,,,
EDR144350 ,Herculaneum,basis columnae,column base,Other,2321,,,,
EDR144352,Herculaneum,basis columnae,column base,Other,2322,,,,
EDR144353  ,Herculaneum,basis columnae,column base,Other,2323,,,,
EDR144354   ,Herculaneum,"nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis","names FAVSTVS and NOTHVS written in the shape of three boats, NOTHVS twice",Boats,"11,12",,,,
EDR144356 ,Herculaneum,sex circuli quorum duo simplices et quattor duplices sunt,"six circles, two single and four double",Geometric designs,40,,Yes,,
EDR144659 ,Herculaneum,galea gladiatoria,gladiator helmet,Gladiators,971,,,,
EDR144783  ,Herculaneum,galea gladiatoria cum crista,gladiator helmet with crest,Gladiators,968,,,,
EDR144784   ,Herculaneum,galea gladiatoria cum crista,gladiator helmet with crest,Gladiators,969,,,,
EDR145005    ,Herculaneum,cervus ,stag,Animals,1109,,,,
EDR145006 ,Herculaneum,cervus,stag,Animals,1110,,,,
EDR145007   ,Herculaneum,cervus a viro laqueo captus,stag captured by a man with a rope,"Animals, Other",1124,,,,
EDR145009   ,Herculaneum,vir cervum equitans,man riding stag,"Human figures, Animals",1310,,,,
EDR145030 ,Herculaneum,"gryllus feminae cum cornibus, unguibus, dentibus, et alis, falcem aut baculum tenentis","caricature of a woman with horns, claws, teeth, and wings, holding a scythe or staff","Human figures, Animals",1372,,Yes,,
EDR145036 ,Herculaneum,navis ,boat,Boats,2169,,Yes,,
EDR145037 ,Herculaneum,carina navis,ship's keel,Boats,2220,,Yes,,
EDR145296  ,Herculaneum,viri imago ad sinistram,image of a man facing left,Human figures,486,,,,
EDR145384     ,Herculaneum,gladiator armatus cum galea exigua et scuto longo,gladiator armed with a short sword and a long shield,Gladiators,903,,Yes,,
EDR145765    ,Herculaneum,cervus,stag,Animals,1510,,,,
EDR145766,Herculaneum,cervus,stag,Animals,1511,,,,
EDR145767 ,Herculaneum,animal,animal,Animals,1595,,Yes,,
EDR145935 ,Herculaneum,cervus stans ,standing stag,Animals,1521,,,,
EDR145941  ,Herculaneum,viri caput,head of a man,Human figures,187,,Yes,,
EDR145942  ,Herculaneum,herma viri,bust of a man,Human figures,213,,,,
EDR145943  ,Herculaneum,scaena erotica,erotic scene ,"Human figures, Erotic images",1289,,Yes,,
EDR149190,Herculaneum,palmae ramus,palm branch ,Plants,,,,,
EDR143636,Herculaneum,"caput acutum cum nasone longo et corona, gryllus?","pointed head with long nose and garland wreath, caricature?",Human figures,309,,,,
EDR156776,Herculaneum,vir baculo nixus,man leaning on a staff,Human figures,1377,10596,Yes,,
EDR154541,Herculaneum,phallus,phallus,Erotic images,,,,,
EDR156782,Herculaneum,((:caput gladiatoris ad sin. versum et galea armatum)),,Gladiators,383,10673,Yes,,
 EDR143832,Herculaneum,galea gladiatoria cum crista ad dext.,gladiator helmet with plume and possibly visor facing right,Gladiators,965,,,,
EDR147158 ,Herculaneum,galea gladiatoria,gladiator helmet,Gladiators,966,,,,
EDR127408 ,Herculaneum,((:gladiatores inter se dimicantes)),,Gladiators,1055,,,,
EDR140190,Herculaneum,((:gladiatores inter se dimicantes)),,Gladiators,1055,,,,
EDR153742,Herculaneum,Silentiolus / ((:nomen SILENTIOLUS in forma navis scriptum)),,Boats,,10655a,Yes,,
EDR153743,Herculaneum,Silentiolus / ((:nomen SILENTIOLUS in forma navis scriptum)),,Boats,,10655b,Yes,,
EDR144357,Herculaneum,((:herma viri)),,,,10676 (nota),,,
