EDR,Latin description,English description,Langner Number,CIL IV.#,Translation removed from EDR?,Image of CIL entry uploaded?,Other notes,Drawing Category,,,,,,,,,,,,,,,,,,
,Take Latin description from EDR,English translation of description,,,Has the translation been removed yet? Yes/No,N/A if Langner has but not in CIL,,,,,,,,,,,,,,,,,,,,
 EDR143832,galea gladiatoria cum crista ad dext.,gladiator helmet with plume and possibly visor facing right,965,,,,,Gladiators,,,,,,,,,,,,,,,,,,
 EDR144347,basis columnae cum parte columnae ornamentae et fortasse scalae,base and part of a decorated column and perhaps a ladder,2318,,,,,Other,,,,,,,,,,,,,,,,,,
 EDR144348  ,basis columnae,column base,2319,,,,,Other,,,,,,,,,,,,,,,,,,
 EDR144514  ,"camelus dromedarius lodicem gerens, cum cauda, ad dextram incedens","camel, wearing a blanket, with a tail, walking to the right",1443,,,,,Animals,,,,,,,,,,,,,,,,,,
 EDR145004    ,cervus a cane assultatus,stag attacked by dog,1108,,,,,Animals,,,,,,,,,,,,,,,,,,
 EDR145008 ,cervus a viro laqueo captus et a cane assultatus,stag captured by a man with a rope and attacked by a dog,1125,,,,,"Animals, Human figures",,,,,,,,,,,,,,,,,,
 EDR145032 ,gallus cum crista alisque,cock with comb and wings,1688,,,,,Animals,,,,,,,,,,,,,,,,,,
 EDR145764 ,cervus,stag,1509,,,,,Animals,,,,,,,,,,,,,,,,,,
 EDR145768   ,animal,animal,1596,,,,,Animals,,,,,,,,,,,,,,,,,,
 EDR145771  ,figura virilis,figure of a man,734,,,,,Human figures,,,,,,,,,,,,,,,,,,
 EDR147519   ,circulus circulos continens,concentric circles,43,,,,,,,,,,,,,,,,,,,,,,,
 EDR147607  ,herma viri cum palma,bust of man with palm,384,,,,,"Human figures, Plants",,,,,,,,,,,,,,,,,,
 EDR147725 ,nomen NEPTVNVS in forma navis scriptum,name NEPTVNVS written in shape of boat,2,,,,,,,,,,,,,,,,,,,,,,,
 EDR147779,verba CRESCES ARCHITECTUS in forma navis scripta,phrase CRESCES ARCHITECTUS written in shape of boat,13,,,,,,,,,,,,,,,,,,,,,,,
 EDR147862 ,labyrinthus circularis,circular labyrinth,46,,,,,,,,,,,,,,,,,,,,,,,
 EDR147917   ,nomen SECVNDVS in forma navis scriptum,name SECVNDVS written in shape of boat,17,,,,,,,,,,,,,,,,,,,,,,,
 EDR147920 ,nomen SECVNDVS in forma navis scriptum,name SECVNDVS written in shape of boat,16,,,,,,,,,,,,,,,,,,,,,,,
 EDR147931,circulus circino tractus et florem continens,compass-drawn circle containing flower,88,,,,,,,,,,,,,,,,,,,,,,,
 EDR147933  ,circulus,circle,117,,,,,,,,,,,,,,,,,,,,,,,
EDR142564,navis oneraria cum nautis et tugurio,cargo ship with sailors and deckhouse,2103,,,,,,,,,,,,,,,,,,,,,,,
EDR142573,nomen Venustus in forma navis scriptum,name Venustus written in shape of boat,2001,,,,,,,,,,,,,,,,,,,,,,,
EDR143634  ,galea gladiatoria cum crista ad sin.,gladiator helmet with a plume facing left,970,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR143814,galea gladiatoria cum crista ad dext.,gladiator helmet with plume and visor? facing right,963,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR143815 ,galea gladiatoria cum crista ad. dext.,gladiator helmet with crest facing right,964,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR143833   ,galea gladiatoria,gladiator helmet,967,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR143900  ,"gladiator, murmillo cum galea et scuto","gladiator, murmillo type with helmet and shield",909,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR144349  ,basis columnae,column base,2320,,,,,Other,,,,,,,,,,,,,,,,,,
EDR144350 ,basis columnae,column base,2321,,,,,Other,,,,,,,,,,,,,,,,,,
EDR144352,basis columnae,column base,2322,,,,,Other,,,,,,,,,,,,,,,,,,
EDR144353  ,basis columnae,column base,2323,,,,,Other,,,,,,,,,,,,,,,,,,
EDR144354   ,"nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis","names FAVSTVS and NOTHVS written in the shape of three boats, NOTHVS twice","11,12",,,,,Boats,,,,,,,,,,,,,,,,,,
EDR144356 ,sex circuli quorum duo simplices et quattor duplices sunt,"six circles, two single and four double",40,,,,,Geometric designs,,,,,,,,,,,,,,,,,,
EDR144659 ,galea gladiatoria,gladiator helmet,971,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR144783  ,galea gladiatoria cum crista,gladiator helmet with crest,968,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR144784   ,galea gladiatoria cum crista,gladiator helmet with crest,969,,,,,Gladiators,,,,,,,,,,,,,,,,,,
EDR145005    ,cervus ,stag,1109,,,,,Animals,,,,,,,,,,,,,,,,,,
