City,Insula,Main Entrance,Secondary entrances,AGP Name,English Name,Italian Name,Category,OSM Tag,OSM ID,OSM Way ID,Herculaneum Panoramas link,Parco Archeologico Links,Source of info,Other notes
Herculaneum,II,1,,House of Aristides,House of Aristides,Casa di Aristide,House,,,321565894,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/F25-07_Aristide/F25-07_Aristide.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+di+Aristide&idSezione=186,,Please check out yellow spaces (connected or not? characterized correctly? summer 2016)
Herculaneum,II,2,,House of Argus ,House of Argus ,Casa di Argo,House,,5422783,,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Argo/F26-03_Argo/F26-03_Argo.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+d%27Argo&idSezione=185,,
Herculaneum,II,3,,House of the Genius,House of the Genius,Casa del Genio,House,,,321565896,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/F44-02_Genio/F44-02_Genio.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+del+Genio&idSezione=184,,
Herculaneum,II,4,,,,,,,,321565897,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/F44-02_Genio/F44-02_Genio.html,,,"Note to SS: no graffiti found here, shall we leave off drop-down menu?"
Herculaneum,II,5,,,,,,,,321565900,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/F44-02_Genio/F44-02_Genio.html,,,
Herculaneum,II,7,6,Thermopolium ,Thermopolium ,Thermapolium,Tavern,,,321565898,,http://www.pompeiisites.org/Sezione.jsp?titolo=Il+thermopolivm+%28II%2C6-7%29+%28VI%2C19%29&idSezione=211,,
Herculaneum,II,8,,,,,,,,321565899,,,,"Note to SS: no graffiti found here, shall we leave off drop-down menu?"
Herculaneum,III,19,"1,2,18",House of the Inn,House of the Inn,Casa dell'Albergo ,"House,Inn ",,5424672,,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Albergo/F42-05_Albergo/F42-05_Albergo.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+dell%27albergo&idSezione=188,,"RB: This was ""House of the Hotel"" on OSM -- which to use?"
Herculaneum,III,3,,House of the Skeleton,House of the Skeleton,Casa dello Scheletro ,House,,,314801624,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Scheletro/F26-09_Scheletro/F26-09_Scheletro.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+dello+Scheletro&idSezione=187,,
Herculaneum,III,11,"4,6",House of the Wooden Screen/Partition ,House of the Wooden Screen/Partition ,Casa del Tramezzo di Legno ,House,,,314801027,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Tramezzo_di_Legno/F40-05/F40-05.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+del+Tramezzo+di+legno&idSezione=183,,Varone shows III.4-6 connected with house; we're following him
Herculaneum,III,5,,Stairs to upper level,Stairs to upper level,Scalae,,,,,,,,"Note to SS: no graffiti found here, shall we leave off drop-down menu?"
Herculaneum,III,7,,Shop ,Shop ,Bottega   ,Shop,,,314801026,,,,
Herculaneum,III,8,9,,,,Workshop,,,314801025,,,,Not much known about property; workshop = RB's best guess
Herculaneum,III,10,,Workshop,Workshop,Bottega,Workshop,,,314801024,,http://www.pompeiisites.org/Sezione.jsp?titolo=La+bottega+del+lanarius+%28III%2C10%29&idSezione=218,pompeiisites.org,
Herculaneum,III,12,,,,,Shop,,,314801029,,,Andrews,
Herculaneum,III,14,"13,15",House of Wattlework,House of Wattlework,Casa a Graticcio,House,,,314801030,http://donovanimages.co.nz/proxima-veritati/Herculaneum/Graticcio/HTML5_panos/F14-02_Graticcio/F14-02_Graticcio.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+a+Graticcio&idSezione=182,,
Herculaneum,III,16,,House of the Bronze Herm ,House of the Bronze Herm ,Casa dell'Erma di Bronzo,House,,,314801619,http://donovanimages.co.nz/proxima-veritati/Herculaneum/media/2001_HTML5_panos/Erma_di_Bronzo/F39-07_Erma.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+casa+dell%27Erma+di+bronzo&idSezione=181,,
Herculaneum,III,17,,House of the Brick Altar ,House of the Brick Altar ,Casa dell'Ara Laterizia ,House,,,314801621,,,,
Herculaneum,IV,2,1,House of the Mosaic Atrium,House of the Mosaic Atrium,Casa dell'Atrio a Mosaico,House,,,311209135,http://donovanimages.co.nz/proxima-veritati/Herculaneum/Atrio_a_Mosaico/panos-2016/Atrio-a-Mosaico-02-atrium-6k/Atrio-a-Mosaico-02-atrium-6k.html,http://www.pompeiisites.org/Sezione.jsp?titolo=La+Casa+dell%27atrio+a+mosaico&idSezione=180,,
